 beginning of the function, 19/12/2022 18:04:34
first 892, 19/12/2022 18:04:34
last 908, 19/12/2022 18:04:34
first 889, 19/12/2022 18:04:34
last 911, 19/12/2022 18:04:34
first 886, 19/12/2022 18:04:34
last 914, 19/12/2022 18:04:34
first 885, 19/12/2022 18:04:34
last 915, 19/12/2022 18:04:34
first 883, 19/12/2022 18:04:34
last 917, 19/12/2022 18:04:34
first 882, 19/12/2022 18:04:34
last 918, 19/12/2022 18:04:34
first 880, 19/12/2022 18:04:34
last 920, 19/12/2022 18:04:34
first 879, 19/12/2022 18:04:34
last 921, 19/12/2022 18:04:34
first 878, 19/12/2022 18:04:34
last 922, 19/12/2022 18:04:34
first 877, 19/12/2022 18:04:34
last 923, 19/12/2022 18:04:34
first 876, 19/12/2022 18:04:34
last 924, 19/12/2022 18:04:34
first 876, 19/12/2022 18:04:34
last 924, 19/12/2022 18:04:34
first 875, 19/12/2022 18:04:34
last 925, 19/12/2022 18:04:34
first 874, 19/12/2022 18:04:34
last 926, 19/12/2022 18:04:34
first 874, 19/12/2022 18:04:34
last 926, 19/12/2022 18:04:34
first 873, 19/12/2022 18:04:34
last 927, 19/12/2022 18:04:34
first 872, 19/12/2022 18:04:34
last 928, 19/12/2022 18:04:34
first 872, 19/12/2022 18:04:34
last 928, 19/12/2022 18:04:34
first 872, 19/12/2022 18:04:34
last 928, 19/12/2022 18:04:34
first 871, 19/12/2022 18:04:34
last 929, 19/12/2022 18:04:34
first 871, 19/12/2022 18:04:34
last 929, 19/12/2022 18:04:34
first 871, 19/12/2022 18:04:34
last 929, 19/12/2022 18:04:34
first 870, 19/12/2022 18:04:34
last 930, 19/12/2022 18:04:34
cx 900 cy 293, 19/12/2022 18:04:34
 beginning of the function, 19/12/2022 18:04:39
first 792, 19/12/2022 18:04:39
last 808, 19/12/2022 18:04:39
first 789, 19/12/2022 18:04:39
last 811, 19/12/2022 18:04:39
first 786, 19/12/2022 18:04:39
last 814, 19/12/2022 18:04:39
first 785, 19/12/2022 18:04:39
last 815, 19/12/2022 18:04:39
first 783, 19/12/2022 18:04:39
last 817, 19/12/2022 18:04:39
first 782, 19/12/2022 18:04:39
last 818, 19/12/2022 18:04:39
first 780, 19/12/2022 18:04:39
last 820, 19/12/2022 18:04:39
first 779, 19/12/2022 18:04:39
last 821, 19/12/2022 18:04:39
first 778, 19/12/2022 18:04:39
last 822, 19/12/2022 18:04:39
first 777, 19/12/2022 18:04:39
last 823, 19/12/2022 18:04:39
first 776, 19/12/2022 18:04:39
last 824, 19/12/2022 18:04:39
first 776, 19/12/2022 18:04:39
last 824, 19/12/2022 18:04:39
first 775, 19/12/2022 18:04:39
last 825, 19/12/2022 18:04:39
first 774, 19/12/2022 18:04:39
last 826, 19/12/2022 18:04:39
first 774, 19/12/2022 18:04:39
last 826, 19/12/2022 18:04:39
first 773, 19/12/2022 18:04:39
last 827, 19/12/2022 18:04:39
first 772, 19/12/2022 18:04:39
last 828, 19/12/2022 18:04:39
first 772, 19/12/2022 18:04:39
last 828, 19/12/2022 18:04:39
first 772, 19/12/2022 18:04:39
last 828, 19/12/2022 18:04:39
first 771, 19/12/2022 18:04:39
last 829, 19/12/2022 18:04:39
first 771, 19/12/2022 18:04:39
last 829, 19/12/2022 18:04:39
first 771, 19/12/2022 18:04:39
last 829, 19/12/2022 18:04:39
first 770, 19/12/2022 18:04:39
last 830, 19/12/2022 18:04:39
